unmittelbare Anstellung,Q506999,,Q-1770 Person,1771,1772,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,,Ort,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
Regierungs-Canzley,Q506764,,Q513401,Johann Heinrich Gerlach,Johann Heinrich Gerlach,unverändert,Consistorial-Rath,,,,,,,,,,,,,
Regierungs-Canzley,Q510694,,Q43247,Wilhelm Friedrich Stölzel,Wilhelm Friedrich Stölzel,unverändert,Consistorial-Rath,Hofprediger,Landinspector,,,,,,,,,,,
Land-Inspector,Q506903,,Q43247,Wilhelm Friedrich Stölzel,,weg,Consistorial-Rath,Hofprediger,Landinspector,,,,,,,,,,,
,Q506903,,,,Christian Wilhelm Bause,neu,Consistorial-Rath,Ober-Hofprediger,,,,,,,Christian,Wilhelm,,,,Bause
Ober Consistorium Kanzley,Q506903,,Q192558,Johann Ernst Golde,Johann Ernst Golde,unverändert,Secretarius,,,,,,,,,,,,,
Ober Consistorium Kanzley,Q506903,,Q192826,Johann Benjamin Lattermann,Johann Benjamin Lattermann,unverändert,Consistorial-Secretarius,,,,,,,,,,,,,
Ober Consistorium Kanzley,Q506903,,Q507064,Johann Ludwig Jacob Witzmann,Johann Ludwig Jacob Witzmann,unverändert,Registrator,,,,,,,,,,,,,
Ober Consistorium Kanzley,Q506903,,Q507065,,,weg,Consistorial-Actuarius,,,,,,,,,,,,,
Ober Consistorium Kanzley,Q506903,,Q99151,Wilhelm Jonathan Löw,Wilhelm Jonathan Löw,unverändert,Consistorial-Registrator,,,,,,,,,,,,,
Ober Consistorium Kanzley,Q506903,,,Johann August Sommer,Johann August Sommer,andere Quali,Consistorial-Actuarius,,,,,,,,,,,,,
,Q506903,,,,Johann Ernst Scharf,neu,Accetzist,,,,,,,,Johann,Ernst,,,,Scharf
Ober Consistorial-Archiv,Q506904,,Q154940,Christian Friedrich August Brückner,Christian Friedrich August Brückner,unverändert,Archiv-Secretarius,,,,,,,,,,,,,
Consistorial-Bothen,Q506905,,Q507066,Andeas Geyrnsbach,Andeas Geyrnsbach,unverändert,,,,,,,,,,,,,,
Consistorial-Bothen,Q506905,,Q507067,August Jacob Hild,August Jacob Hild,unverändert,,,,,,,,,,,,,,
Herzogliches Kammer-Collegium zu Gotha,Q506906,,Q506996,Friedrich von Schwarzenfels,Friedrich von Schwarzenfels,unverändert,Wirklicher Geheimrat,Cammer-Präsident,Landschafts-Direktor,Ober-Steuereinnehmer zu Altenburg,,,Seine Excellenz,,,,,,,
,Q506906,,,,Wilhelm von Rotberg,neu,Wirklicher Geheimrat,Ober-Hofmeister,,,,,,,Wilhelm,,,,,Wilhelm von Rotberg
Herzogliches Kammer-Collegium zu Gotha,Q506906,,,Eberhard Sylvius von Frankenberg,Eberhard Sylvius von Frankenberg,unverändert,Hofmarschall,Cammerrath,,,,,,,,,,,,
Herzogliches Kammer-Collegium zu Gotha,Q506906,,Q28051,,,weg,Wirklicher Geheimrat,,,,,,Seine Excellenz,,,,,,,
